Listing...
gir1.2-soup-2.4/noble-updates,noble-security 2.74.3-6ubuntu1.6 amd64 [upgradable from: 2.74.3-6ubuntu1.5]
gir1.2-soup-3.0/noble-security 3.4.4-5ubuntu0.7 amd64 [upgradable from: 3.4.4-5ubuntu0.4]
gir1.2-udisks-2.0/noble-updates,noble-security 2.10.1-6ubuntu1.3 amd64 [upgradable from: 2.10.1-6ubuntu1.2]
gir1.2-webkit2-4.1/noble-updates,noble-security 2.50.4-0ubuntu0.24.04.1 amd64 [upgradable from: 2.48.3-0ubuntu0.24.04.1]
gnome-settings-daemon-common/noble-updates,noble-updates 46.0-1ubuntu1.24.04.1 all [upgradable from: 46.0-1ubuntu1]
gnupg-utils/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
gnupg/noble-updates,noble-updates,noble-security,noble-security 2.4.4-2ubuntu17.4 all [upgradable from: 2.4.4-2ubuntu17.3]
google-chrome-stable/stable 146.0.7680.164-1 amd64 [upgradable from: 138.0.7204.183-1]
gpg-agent/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
gpg/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
gpgconf/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
gpgsm/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
gpgv/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
gstreamer1.0-alsa/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
gstreamer1.0-gl/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
gstreamer1.0-gtk3/noble-updates,noble-security 1.24.2-1ubuntu1.2 amd64 [upgradable from: 1.24.2-1ubuntu1.1]
gstreamer1.0-pipewire/noble-updates 1.0.5-1ubuntu3.2 amd64 [upgradable from: 1.0.5-1ubuntu3.1]
gstreamer1.0-plugins-base-apps/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
gstreamer1.0-plugins-base/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
gstreamer1.0-plugins-base/noble-updates,noble-security 1.24.2-1ubuntu0.3 i386 [upgradable from: 1.24.2-1ubuntu0.2]
gstreamer1.0-plugins-good/noble-updates,noble-security 1.24.2-1ubuntu1.2 amd64 [upgradable from: 1.24.2-1ubuntu1.1]
gstreamer1.0-x/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
gvfs-backends/noble-security 1.54.4-0ubuntu1~24.04.2 amd64 [upgradable from: 1.54.0-1ubuntu2]
gvfs-common/noble-security,noble-security 1.54.4-0ubuntu1~24.04.2 all [upgradable from: 1.54.0-1ubuntu2]
gvfs-daemons/noble-security 1.54.4-0ubuntu1~24.04.2 amd64 [upgradable from: 1.54.0-1ubuntu2]
gvfs-fuse/noble-security 1.54.4-0ubuntu1~24.04.2 amd64 [upgradable from: 1.54.0-1ubuntu2]
gvfs-libs/noble-security 1.54.4-0ubuntu1~24.04.2 amd64 [upgradable from: 1.54.0-1ubuntu2]
gvfs/noble-security 1.54.4-0ubuntu1~24.04.2 amd64 [upgradable from: 1.54.0-1ubuntu2]
heif-gdk-pixbuf/noble-updates,noble-security 1.17.6-1ubuntu4.2 amd64 [upgradable from: 1.17.6-1ubuntu4.1]
inetutils-telnet/noble-security 2:2.5-3ubuntu4.1 amd64 [upgradable from: 2:2.5-3ubuntu4]
intel-media-va-driver/noble-updates 24.1.0+dfsg1-1ubuntu0.1 amd64 [upgradable from: 24.1.0+dfsg1-1]
intel-media-va-driver/noble-updates 24.1.0+dfsg1-1ubuntu0.1 i386 [upgradable from: 24.1.0+dfsg1-1]
intel-microcode/noble-security 3.20260210.0ubuntu0.24.04.1 amd64 [upgradable from: 3.20250512.0ubuntu0.24.04.1]
iproute2/noble-updates 6.1.0-1ubuntu6.2 amd64 [upgradable from: 6.1.0-1ubuntu6]
iputils-ping/noble-updates,noble-security 3:20240117-1ubuntu0.1 amd64 [upgradable from: 3:20240117-1build1]
iputils-tracepath/noble-updates,noble-security 3:20240117-1ubuntu0.1 amd64 [upgradable from: 3:20240117-1build1]
keyboxd/noble-updates,noble-security 2.4.4-2ubuntu17.4 amd64 [upgradable from: 2.4.4-2ubuntu17.3]
klibc-utils/noble-updates,noble-security 2.0.13-4ubuntu0.2 amd64 [upgradable from: 2.0.13-4ubuntu0.1]
